node_id,dist_name,prov_name,events,fatalities,degree,betweenness,bridge_risk,bridge_flag
206,Mihtarlam,Laghman,468,980,4,0.0015549537100541444,0.0015545162530488676,FALSE
72,Khwaja Sabz Posh,Faryab,674,2070,5,0.0010762806204486076,0.0015495920017693677,FALSE
132,Fayz abad,Jawzjan,133,377,5,0.005446561927890136,0.001547412269499901,FALSE
185,Bar Kunar,Kunar,225,299,5,0.003188460967234742,0.0015324826700287984,FALSE
37,Dawlat abad,Balkh,162,724,6,0.0042936955646413555,0.001485861097182354,FALSE
74,Maymana,Faryab,274,937,5,0.002432586172794619,0.0014238057607830815,FALSE
281,Shinwari,Parwan,91,130,6,0.007192244179753905,0.0013980984844190456,FALSE
88,Malistan,Ghazni,26,230,5,0.02493186142578655,0.0013847137397277594,FALSE
288,Balkhab,Sari Pul,38,221,5,0.016748167034556515,0.0013595113239206755,FALSE
46,Shortepa,Balkh,86,141,5,0.007341022412276181,0.001348611784631242,FALSE
17,Muqur,Badghis,194,576,4,0.003237761389912613,0.0013417713638429942,FALSE
314,Hisa-i-Awali Bihsud,Wardak,29,54,6,0.021146652419195354,0.001310000839683694,FALSE
122,Karukh,Hirat,43,204,7,0.014215625794482458,0.0013057691010646684,FALSE
279,Salang,Parwan,72,244,6,0.008441224014461443,0.0012982844976483683,FALSE
116,Farsi,Hirat,37,166,6,0.01551834607329294,0.0012265326288359677,FALSE
307,Dihrawud,Uruzgan,471,2035,5,0.001190365318697596,0.0011976588319885474,FALSE
78,Shirin Tagab,Faryab,342,941,5,0.0016370796000945973,0.0011959908358367783,FALSE
286,Khuram Wa Sarbagh,Samangan,18,29,7,0.03105000711136506,0.0011938950682831974,FALSE
233,Chakhansur,Nimroz,35,61,8,0.015909203232807423,0.0011894561147663557,FALSE
36,Chimtal,Balkh,35,115,8,0.015582034575446857,0.0011649952568363415,FALSE
121,Injil,Hirat,87,218,6,0.006174703235264951,0.0011475385696015279,FALSE
254,Urgun,Paktika,88,262,7,0.005852023766146171,0.001100070965838522,FALSE
244,Burmul,Paktika,144,522,4,0.0035392616315480328,0.001088697208245727,FALSE
219,Goshta,Nangarhar,22,10,7,0.022985740844811416,0.0010802222932664893,FALSE
177,Musa Khel,Khost,136,279,5,0.003482198038065953,0.0010116361124865904,FALSE
56,Anar Dara,Farah,78,295,4,0.005978507482500307,9.961375902949317e-4,FALSE
48,Panjab,Bamyan,6,2,6,0.07696242904822512,9.86420219424462e-4,FALSE
34,Char Bolak,Balkh,402,1215,5,0.0011466965526081066,9.84705829775577e-4,FALSE
55,Shahristan,Daykundi,9,1,5,0.05120258243850848,9.843880298875016e-4,FALSE
146,Khaki Jabar,Kabul,37,70,5,0.01225047755558051,9.682481863580324e-4,FALSE
